,user,numlogonDay,numlogonNight,numlogoffDay,numlogoffNight,numPClogonDay,numPClogonNight,numPClogoffDay,numPClogoffNight,onoffNotsameDay,onoffNotsameNight
0,AAB0162,0,355,0,356,0,1,0,1,0,1
1,AAB0398,0,356,356,0,0,1,1,0,356,356
2,AAC0610,278,387,193,194,1,1,1,1,85,193
3,AAC0668,0,356,190,166,0,1,1,1,190,190
4,AAC3270,0,356,356,0,0,1,1,0,356,356
5,AAD2188,0,356,356,0,0,1,1,0,356,356
6,AAD3030,0,356,356,0,0,1,1,0,356,356
7,AAF0819,302,363,25,362,25,8,25,7,277,1
8,AAF3937,0,356,193,163,0,1,1,1,193,193
9,AAG1447,197,159,0,356,1,1,0,1,197,197
10,AAG3799,1,354,0,356,1,1,0,1,1,2
11,AAH0721,0,356,0,356,0,1,0,1,0,0
12,AAM0138,0,356,199,157,0,1,1,1,199,199
13,AAM0729,0,356,0,356,0,1,0,1,0,0
14,AAP0352,17,360,375,2,17,5,20,2,358,358
15,AAP1919,80,373,442,11,75,18,79,11,362,362
16,AAP1942,275,355,356,0,1,1,1,0,81,355
17,AAR0641,356,0,0,356,1,0,0,1,356,356
18,AAS0144,0,356,0,356,0,1,0,1,0,0
19,AAS2987,0,356,356,0,0,1,1,0,356,356
20,AAS3428,321,530,31,470,34,29,31,31,290,60
21,AAT2913,0,288,162,126,0,1,1,1,162,162
22,AAV3669,0,356,0,356,0,1,0,1,0,0
23,AAW0894,347,375,63,374,59,8,59,7,284,1
24,ABB0167,148,0,0,148,1,0,0,1,148,148
25,ABB0300,208,210,8,410,9,27,8,27,200,200
26,ABC3523,0,356,356,0,0,1,1,0,356,356
27,ABD3426,311,631,58,511,25,8,27,6,253,120
28,ABE2352,0,356,0,356,0,1,0,1,0,0
29,ABG2353,0,356,0,356,0,1,0,1,0,0
30,ABG3605,0,356,356,0,0,1,1,0,356,356
31,ABH0349,329,363,51,363,50,8,50,8,278,0
32,ABH1181,0,355,0,356,0,1,0,1,0,1
33,ABH2671,0,356,356,0,0,1,1,0,356,356
34,ABJ0281,0,104,0,104,0,1,0,1,0,0
35,ABK0481,0,34,34,0,0,1,1,0,34,34
36,ABK3081,332,551,38,513,38,15,36,17,294,38
37,ABL0870,0,356,356,0,0,1,1,0,356,356
38,ABM3203,5,458,364,100,5,22,6,22,359,358
39,ABM3641,21,656,20,657,21,48,20,49,1,1
40,ABM3687,215,249,246,48,61,16,64,13,31,201
41,ABM3772,277,426,0,426,1,1,0,1,277,0
42,ABM3776,0,356,0,356,0,1,0,1,0,0
43,ABO1173,278,434,0,434,1,1,0,1,278,0
44,ABP2003,0,356,0,356,0,1,0,1,0,0
45,ABP2917,276,469,193,230,1,1,1,1,83,239
46,ABR0397,364,387,447,23,74,29,80,22,83,364
47,ABS0677,292,357,199,173,16,2,16,2,93,184
48,ABW0501,0,356,0,356,0,1,0,1,0,0
49,ACA0360,0,356,0,356,0,1,0,1,0,0
50,ACA3252,0,356,356,0,0,1,1,0,356,356
51,ACB0701,296,424,367,46,1,1,1,1,71,378
52,ACB3123,329,413,420,51,58,19,61,15,91,362
53,ACC2773,0,356,356,0,0,1,1,0,356,356
54,ACF1806,89,118,118,0,1,1,1,0,29,118
55,ACG0312,97,386,464,19,87,30,96,19,367,367
56,ACG3819,314,497,15,457,16,7,15,7,299,40
57,ACH0008,0,356,0,356,0,1,0,1,0,0
58,ACH1405,0,356,0,356,0,1,0,1,0,0
59,ACH1910,708,185,48,500,53,17,46,24,660,315
60,ACH2102,8,348,9,347,1,1,1,1,1,1
61,ACJ0014,0,356,356,0,0,1,1,0,356,356
62,ACL2943,483,161,0,356,1,1,0,1,483,195
63,ACM0100,275,356,356,0,1,1,1,0,81,356
64,ACM2278,136,180,0,180,1,1,0,1,136,0
65,ACM3964,287,356,0,356,1,1,0,1,287,0
66,ACN2347,378,379,89,381,80,23,80,25,289,2
67,ACP2122,310,393,377,18,12,7,13,6,67,375
68,ACR0331,0,356,0,356,0,1,0,1,0,0
69,ACR0748,0,356,356,0,0,1,1,0,356,356
70,ACS0128,206,279,8,278,8,9,8,8,198,1
71,ACS1921,82,378,446,14,73,23,81,14,364,364
72,ACV1946,349,412,441,50,71,20,76,13,92,362
73,ACW0426,0,356,356,0,0,1,1,0,356,356
74,ACW0464,98,1320,95,1323,97,835,94,838,3,3
75,ACW1707,0,356,0,356,0,1,0,1,0,0
76,ADB0350,0,356,356,0,0,1,1,0,356,356
77,ADB1105,28,279,284,23,28,16,34,11,256,256
78,ADB3853,0,356,0,356,0,1,0,1,0,0
79,ADC1469,0,356,356,0,0,1,1,0,356,356
